line	Date	date	Time	lat	long	alt	temp
149	5/23/2009	2009-05-23	7:45:28	45.6096074	-87.2489142	104.4	19
150	5/23/2009	2009-05-23	8:00:11	45.6095437	-87.2488053	142.12	22
151	5/23/2009	2009-05-23	8:15:16	45.6095854	-87.2487449	155.77	25
152	5/23/2009	2009-05-23	8:30:09	45.6095598	-87.2487327	154.36	23
153	5/23/2009	2009-05-23	8:45:16	45.6095955	-87.2488412	142.08	23
154	5/23/2009	2009-05-23	9:00:18	45.6094144	-87.2487358	144.99	22
155	5/23/2009	2009-05-23	9:15:27	45.6091415	-87.2485482	155.09	22
156	5/23/2009	2009-05-23	9:30:22	45.608025	-87.2484353	153.43	20
157	5/23/2009	2009-05-23	9:45:33	45.6080488	-87.2485828	141.04	24
158	5/23/2009	2009-05-23	10:00:53	45.6079857	-87.2494645	154.9	23
159	5/23/2009	2009-05-23	10:15:08	45.6078399	-87.2508895	169.37	23
160	5/23/2009	2009-05-23	10:30:11	45.6074531	-87.2536011	163.88	21
161	5/23/2009	2009-05-23	10:45:15	45.6069159	-87.2553585	160.76	21
162	5/23/2009	2009-05-23	11:00:15	45.60678	-87.2558012	160.15	24
163	5/23/2009	2009-05-23	11:15:14	45.6067414	-87.2557341	148.96	25
164	5/23/2009	2009-05-23	11:30:11	45.6064557	-87.2558031	157.66	26
165	5/23/2009	2009-05-23	11:45:16	45.6058537	-87.2559509	164.38	24
166	5/23/2009	2009-05-23	12:00:11	45.6058258	-87.255807	154.82	22
167	5/23/2009	2009-05-23	12:15:21	45.6058903	-87.2557996	145.01	23
168	5/23/2009	2009-05-23	12:30:12	45.605829	-87.2557076	162.87	23
169	5/23/2009	2009-05-23	12:45:13	45.6058467	-87.2558545	148.35	22
170	5/23/2009	2009-05-23	13:00:42	45.6057889	-87.2558314	147.64	22
171	5/23/2009	2009-05-23	13:15:15	45.6058769	-87.2556052	168.86	24
172	5/23/2009	2009-05-23	13:30:41	45.6057817	-87.2558356	156.82	25
173	5/23/2009	2009-05-23	13:45:15	45.6057761	-87.2558613	156.04	26
174	5/23/2009	2009-05-23	14:00:13	45.6057304	-87.2558119	155.41	27
175	5/23/2009	2009-05-23	14:15:07	45.6057297	-87.2558009	159.69	27
176	5/23/2009	2009-05-23	14:30:12	45.6058033	-87.2558941	146.08	27
177	5/23/2009	2009-05-23	14:45:07	45.6058036	-87.2559069	146.04	30
178	5/23/2009	2009-05-23	15:00:12	45.605821	-87.255857	151.15	30
179	5/23/2009	2009-05-23	15:15:12	45.6057915	-87.2559191	143.17	29
180	5/23/2009	2009-05-23	15:30:15	45.6057829	-87.2558588	151.1	29
181	5/23/2009	2009-05-23	15:45:28	45.6058099	-87.2557229	166.35	29
182	5/23/2009	2009-05-23	16:00:54	45.6057819	-87.255835	155.41	32
183	5/23/2009	2009-05-23	16:15:08	45.6057309	-87.2558094	149.76	30
